id,title,type,series,topics,date
A001,,screening,Filmgeschichte,The Ballad of Sexual Dependency,01.10.2014
A002,,screening,Filmgeschichte,The Ballad of Sexual Dependency,08.10.2014
A003,,screening,Filmgeschichte,The Ballad of Sexual Dependency,15.10.2014
A004,,screening,Filmgeschichte,The Ballad of Sexual Dependency,22.10.2014
A005,,screening,Filmgeschichte,The Ballad of Sexual Dependency,29.10.2014
A006,,screening,Filmgeschichte,The Ballad of Sexual Dependency,05.11.2014
A007,,screening,Filmgeschichte,The Ballad of Sexual Dependency,12.11.2014
A008,,screening,Filmgeschichte,The Ballad of Sexual Dependency,26.11.2014
A009,,screening,Filmgeschichte,The Ballad of Sexual Dependency,03.12.2014
A010,,screening,Filmgeschichte,The Ballad of Sexual Dependency,10.12.2014
A011,,screening,Filmgeschichte,The Ballad of Sexual Dependency,17.12.2014
A012,,screening,Fokus Dok,Autorenpositionen,02.10.2014
A013,,screening,Fokus Dok,Autorenpositionen,09.10.2014
A014,,screening,Fokus Dok,Autorenpositionen,16.10.2014
A015,,screening,Fokus Dok,Autorenpositionen,23.10.2014
A016,Diskussion mit Thomas Imbach,discussion,Fokus Dok,Autorenpositionen,30.10.2014
A017,,screening,Fokus Dok,Autorenpositionen,06.11.2014
A018,Special Guest: Andres Veiel,screening_guest,Fokus Dok,Autorenpositionen,13.11.2014
A019,,screening,Fokus Dok,Autorenpositionen,20.11.2014
A020,,screening,Fokus Dok,Autorenpositionen,27.11.2014
A021,,screening,Fokus Dok,Autorenpositionen,04.12.2014
A022,,screening,Fokus Dok,Autorenpositionen,11.12.2014
A023,Diskussion mit Jean-Stéphane Bron,discussion,Fokus Dok,Autorenpositionen,18.12.2014
A024,Birdly ,lecture,Kein Kino,Clash of Perspectives,29.09.2014
A025,Cinema of Happiness,screening_lecture,Kein Kino,Clash of Perspectives,06.10.2014
A026,Rosanna Zünd: «Letzte Spuren» (Kottmann) und weitere Kurzfilme,screening_lecture,Kein Kino,Clash of Perspectives,13.10.2014
A027,Filme aus dem Hochschularchiv,screening_lecture,Kein Kino,Clash of Perspectives,20.10.2014
A027,Filme aus dem Hochschularchiv,screening_lecture,Kein Kino,Clash of Perspectives,20.10.2014
A028,Scope TV,lecture,Kein Kino,Clash of Perspectives,27.10.2014
A029,Body-Centered Exergames,lecture,Kein Kino,Clash of Perspectives,03.11.2014
A030,Roman Lerch: Gutes Recht (A. Blumer),screening_lecture,Kein Kino,Clash of Perspectives,10.11.2014
A031,Filme aus dem Hochschularchiv «Urbanistisches Theater rund um Paris - und anderswo = théâtre urbanistique autour de Paris - et ailleurs»,screening_lecture,Kein Kino,Clash of Perspectives,17.11.2014
A032,«Nuke the World!»– Wenn Spielspass plötzlich ernst wird,screening_lecture,Kein Kino,Clash of Perspectives,24.11.2014
A033,Film As Monument,screening_lecture,Kein Kino,Clash of Perspectives,01.12.2014
A033,Film As Monument,screening_lecture,Kein Kino,Clash of Perspectives,01.12.2014
A033,Film As Monument,screening_lecture,Kein Kino,Clash of Perspectives,01.12.2014
A034,Dominik Blumer: Parvaneh (Hamzavi),screening_lecture,Kein Kino,Clash of Perspectives,08.12.2014
A035,Filme aus dem Hochschularchiv,screening_lecture,Kein Kino,Clash of Perspectives,15.12.2014
A036,,screening,Klub Kuleshov,Science Fiction – Fünf Dekaden Aliens Garantiert,23.09.2014
A037,,screening,Klub Kuleshov,Science Fiction – Fünf Dekaden Aliens Garantiert,30.09.2014
A038,,screening,Klub Kuleshov,Science Fiction – Fünf Dekaden Aliens Garantiert,07.10.2014
A039,,screening,Klub Kuleshov,Science Fiction – Fünf Dekaden Aliens Garantiert,14.10.2014
A040,,screening,Klub Kuleshov,Science Fiction – Fünf Dekaden Aliens Garantiert,21.10.2014
A041,,screening,Klub Kuleshov,Coming of Age – Fünf Dekaden und immer noch jung,28.10.2014
A042,,screening,Klub Kuleshov,Coming of Age – Fünf Dekaden und immer noch jung,04.11.2014
A043,,screening,Klub Kuleshov,Coming of Age – Fünf Dekaden und immer noch jung,07.11.2014
A044,,screening,Klub Kuleshov,Coming of Age – Fünf Dekaden und immer noch jung,11.11.2014
A045,,screening,Klub Kuleshov,Coming of Age – Fünf Dekaden und immer noch jung,18.11.2014
A046,,screening,Klub Kuleshov,Thriller – Fünf Dekaden Fünfmal Spannung,25.11.2014
A047,,screening,Klub Kuleshov,Thriller – Fünf Dekaden Fünfmal Spannung,02.12.2014
A048,,screening,Klub Kuleshov,Thriller – Fünf Dekaden Fünfmal Spannung,09.12.2014
A049,,screening,Klub Kuleshov,Thriller – Fünf Dekaden Fünfmal Spannung,16.12.2014
A050,,screening,Klub Kuleshov,Thriller – Fünf Dekaden Fünfmal Spannung,19.12.2014
A051,Ticket to Ride,screening,Special,Ticket To Ride,19.09.2014
A052,Expedition ins Uncanny Valley,congress,Special,Kolloquium des Institute for the Performing Arts and Film,31.10.2014
A052,Expedition ins Uncanny Valley,congress,Special,Kolloquium des Institute for the Performing Arts and Film,01.11.2014
A053,Jakob Lass: Freiheit und Struktur –  zur Improvisation bei Love Steaks,screening_lecture,Special,Meet the Talent – Kino Xenix,22.11.2014
A054,Marcel Derek Ramsay – Der Editor als Autor,discussion,Special,Editor's Chat,14.11.2014
A055,Ticket to Ride,screening,Special,Ticket To Ride ,19.12.2014
B001,,screening,Filmgeschichte,Tell me more!,04.03.2015
B002,,screening,Filmgeschichte,Tell me more!,11.03.2015
B003,,screening,Filmgeschichte,Tell me more!,18.03.2015
B004,,screening,Filmgeschichte,Tell me more!,25.03.2015
B005,,screening,Filmgeschichte,Tell me more!,01.04.2015
B006,,screening,Filmgeschichte,Tell me more!,08.04.2015
B007,,screening,Fokus Dok,Activist Filmmaking Done Right?,15.04.2015
B008,,screening,Fokus Dok,Activist Filmmaking Done Right?,22.04.2015
B009,,screening,Fokus Dok,Activist Filmmaking Done Right?,29.04.2015
B010,,screening,Fokus Dok,Activist Filmmaking Done Right?,13.05.2015
B011,,screening,Fokus Dok,Activist Filmmaking Done Right?,20.05.2015
B012,Special Guest: Alexandra Schneider,screening_guest,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,05.03.2015
B013,Special Guest: Alexandra Schneider,screening_guest,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,05.03.2015
B014,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,12.03.2015
B015,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,19.03.2015
B016,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,26.03.2015
B017,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,02.04.2015
B018,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,09.04.2015
B019,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,16.04.2015
B020,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,23.04.2015
B021,,screening,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,30.04.2015
B022,Special Guest: Irene Loebell,screening_guest,Fokus Dok,The World According to Her – Dokumentarfilme Schweizer Autorinnen 2002–2014,21.05.2015
B023,Pulling Rabbits Out of Hats – The Filmmaker as Trickster,screening_lecture,Kein Kino,Clash of Perspectives,16.02.2015
B024,«Plug & Play» – Vom Animationsfilm zum Game,screening_lecture,Kein Kino,Clash of Perspectives,23.02.2015
B025,Game in Concert,lecture,Kein Kino,Clash of Perspectives,02.03.2015
B026,Music for the Eyes – Abstract Film from Animation to Computer Technology,lecture,Kein Kino,Clash of Perspectives,09.03.2015
B027,"CONTEXT HACKING – How to Mess with Art, Media, Law and the Market",screening_lecture,Kein Kino,Clash of Perspectives,16.03.2015
B028,«Wir sind morgen»,screening_lecture,Kein Kino,Clash of Perspectives,23.03.2015
B029,Vorstellung der Cinenova Working Group,lecture,Kein Kino,Clash of Perspectives,30.03.2015
B030,,screening_lecture,Kein Kino,Clash of Perspectives,20.04.2015
B031,«BlowBack» - Ein interaktives Hörspiel,screening_lecture,Kein Kino,Clash of Perspectives,27.04.2015
B032,,screening_lecture,Kein Kino,Clash of Perspectives,04.05.2015
B033,Musikalische Restauration im Stummfilm,screening_lecture,Kein Kino,Clash of Perspectives,11.05.2015
B034,Star Gazer – The Films of Andy Warhol,screening_lecture,Kein Kino,Clash of Perspectives,18.05.2015
B035,Crappy Cars: Videogames im öffentlichen Raum,lecture,Kein Kino,Clash of Perspectives,01.06.2015
B036,,screening,Klub Kuleshov,Anime – Fünfmal grosse Augen,17.02.2015
B037,,screening,Klub Kuleshov,Anime – Fünfmal grosse Augen,24.02.2015
B038,,screening,Klub Kuleshov,Anime – Fünfmal grosse Augen,03.03.2015
B039,,screening,Klub Kuleshov,Anime – Fünfmal grosse Augen,10.03.2015
B040,,screening,Klub Kuleshov,Anime – Fünfmal grosse Augen,17.03.2015
B041,,screening,Klub Kuleshov,Film im Film – Fünfmal im Film im Film,24.03.2015
B042,,screening,Klub Kuleshov,Film im Film – Fünfmal im Film im Film,31.03.2015
B043,,screening,Klub Kuleshov,Film im Film – Fünfmal im Film im Film,07.04.2015
B044,,screening,Klub Kuleshov,Film im Film – Fünfmal im Film im Film,14.04.2015
B045,,screening,Klub Kuleshov,Film im Film – Fünfmal im Film im Film,21.04.2015
B046,,screening,Klub Kuleshov,Skandal! – Fünfmal FSK18,28.04.2015
B047,,screening,Klub Kuleshov,Skandal! – Fünfmal FSK18,05.05.2015
B048,,screening,Klub Kuleshov,Skandal! – Fünfmal FSK18,12.05.2015
B049,,screening,Klub Kuleshov,Skandal! – Fünfmal FSK18,19.05.2015
B050,,screening,Klub Kuleshov,Skandal! – Fünfmal FSK18,26.05.2015
B051,,screening,Klub Kuleshov,Special,13.03.2015
B052,Filmsnacks,screening,Klub Kuleshov,Filmsnacks,15.05.2015
B053,You are leaving the linear Sector!,congress,Special,Zürcher Dokumentarfilmtagung,07.05.2015
B053,You are leaving the linear Sector!,congress,Special,Zürcher Dokumentarfilmtagung,08.05.2015
B054,Ticket to Ride,screening,Special,Ticket To Ride,13.03.2015
B054,Ticket to Ride,screening,Special,Ticket To Ride,13.03.2015
B055,Die Unerträglichkeit der Bewegung,congress,Special,Kolloquium des Institute for the Performing Arts and Film,06.06.2015
