Film,Genre
00001,Drama
00001,Romance
00002,Drama
00002,Romance
00003,Drama
00003,Romance
00004,Drama
00004,Thriller
00005,Drama
00005,Romance
00006,Drama
00006,Romance
00007,Drama
00008,Drama
00008,Romance
00009,Drama
00009,Thriller
00010,Drama
00010,Romance
00011,Drama
00011,Musical
00012,Documentary
00013,Documentary
00014,Documentary
00015,Documentary
00017,Documentary
00018,Documentary
00019,Documentary
00020,Documentary
00021,Documentary
00022,Documentary
00023,
00024,Animation
00025,Documentary
00026,Documentary
00027,Game
,
00028,Drama
00029,
00030,Game
00031,Documentary
00032,Experimental
00033,Experimental
00034,Drama
00035,Documentary
00036,Documentary
00037,Science Fiction
00037,Adventure
00038,Science Fiction
00038,Drama
00039,Science Fiction
00039,Adventure
00040,Science Fiction
00040,Mystery
00041,Science Fiction
00041,Action
00042,Comedy
00042,Romance
00043,Comedy 
00043,Romance
00044, Comedy
00044,Drama
00045,Comedy 
00045,Drama
00046,Comedy
00046,Drama
00047,Thriller
00047,Mystery
00048,Thriller
00048,Mystery
00049,Thriller
00049,Mystery
00050,Thriller
00050,Mystery
00051,Thriller
00051,Mystery
00052,Documentary
00053,
00054,Documentary
00055,Adventure
00055,Animation
00056,Drama
00056,Romance
00057,
00058,Documentary
00059,Documentary
00060,Drama
00060,Romance
00061,Comedy
00061,Crime
00062,Drama
00062,Romance
00063,Drama
00063,Comedy
00064,Crime
00064,Thriller
00065,Drama
00065,Comedy
00066,Documentary
00067,Documentary
00068,Documentary
00069,Documentary
00070,Documentary
00071,Documentary
00072,Documentary
00073,Documentary
00074,Documentary
00075,Documentary
00076,Documentary
00077,Documentary
00078,Documentary
00079,Documentary
00080,Documentary
00081,Documentary
00082,
00083,Animation
00084,Game
00084,Musik
00085,Experimental
00085, Animation
00086,Documentary
00087,Theater
00087,Musik
00088,Experimental
00088,
00089,H̦rspiel
00089,Game
00090,Documentary
00091,Musik
00091,Drama
00100,Experimental
00101,Game
00102,Anime
00102,Animation
00103,Anime
00103,Animation
00104,Anime
00104,Animation
00105,Anime
00105,Animation
00106,Anime
00106,Animation
00107,Drama
00107,
00108,Drama
00108,Comedy
00109,Comedy
00109,Romance
00110,Drama
00110,History
00111,Documentary
00112,Drama
00112,Horror
00113,Drama
00113,Crime
00114,Drama
00114,
00115,Drama
00115,Crime
00116,Drama
00116,Crime
00117,Drama
00117,Crime
00118,Comedy
00119,Documentary
00120,Drama
00121,Drama
00121,Comedy
00122,Drama
00122,Romance
00123,Drama
00124,Drama
00125,
00126,
00127,
00128,
00129,
00130,
00131,
00132,
00133,
00134,
00135,
00136,
00137,
00138,Documentary
00139,Documentary
00140,
00141,
